author,review,rating,vote_count,date,reply
Daniel,"The worst service for music discovery. Super slow search bar. Missing important Metallica albums from the Israeli library. No daily mixes nor flow kind of daily playlists, only suggestion for albums which I dont find very useful for me. No automatic download for songs added to library. The whole R...\nFull Review",Rated 1 stars out of five stars,20,7-Apr-20,
,,,,,
Gino Barnes,"All music is good, but EVERY TOME I try to use a pic for a playlist, it never works! Please fix this! If this didnt happen, it would be a 5 star review, but its not! Please fix this. I have a Moto e5 play Android. Thanks!",Rated 3 stars out of five stars,8,5-Apr-20,
,,,,,
MaryAnn,"Tried twice to verify email code, had to get out of the freakin app to look at my email because I DONT HAVE A COMPUTER, and once I do, instead of continuing on and letting me put in the code, (LIKE EVERY SINGLE OTHER APP THAT DOES NOT CLOSE OUT, ESPECIALLY WHEN REQUIRING A FREAKIN CODE, AND HAS WOR...\nFull Review",Rated 1 stars out of five stars,22,3-Apr-20,
,,,,,
JaZzIe BaBiE,I used to have this on 5 star but starting today its not playing certain songs. It just skips until it finds a song to play. I dont know why its doing this all of the sudden but Im probably going to cancel membership because of this.,Rated 2 stars out of five stars,1,9-Apr-20,
,,,,,
Nikko Jaugan,Some bugs songs starts on by itself when i leave that app on pause. Doesnt let me choose the exact song in the album i have to play the first track then skip a few times. When i listen to the song sometimes the song will change on its own to the last album I play.,Rated 2 stars out of five stars,4,5-Apr-20,
,,,,,
Alexander Brock Swims,"Really needs a few basic features like sorting playlists, download all for songs/genres/etc, and saving purchased music files directly to the phone (if I bought them why shouldnt I be able to have them locally on the phone? Would be great for making ringtones and such for example).",Rated 4 stars out of five stars,1,10-Apr-20,
,,,,,
Ryan Hanewich,"Works just as expected; however, the app still lacks gapless playback, something present in its iOS counterpart. As someone who enjoys listening to albums with smooth transtions between songs, fixing this would greatly enhance the listening experience.",Rated 4 stars out of five stars,,6-Apr-20,
,,,,,
Jsan,Can not play an album i want to listen to or playlist..it will go thru entire playlist ot album and not 1 song played...uninstalled/installed 3 times..still does not work..what am i paying for to watch it go thru entire list and not a song played...fix it!!!...going on for 4 days.,Rated 1 stars out of five stars,2,7-Apr-20,
,,,,,
Dominick Sterling,Terrible . Ever since this new update on the S10+ all the App is good for is crashing ..I mean every single time. Never had this problem before but now I have to delete and re install the app every time . And yess the phone is updated.,Rated 1 stars out of five stars,1,9-Apr-20,
,,,,,
Kate Beckman,"Absolutely terrible! My yoga teacher is using it for a playlist so i had to sign up to hear music at home. Long wait times between every page, took forever to sign up and still not working correctly. Ugh!!!",Rated 1 stars out of five stars,6,4-Apr-20,
,,,,,
Aman Patidar14,"I used love using apple music.. But after updates.. It getting slower and slower.. Even lyrics arent flow smooth sometimes.. And it feels more bad after you pay for it and cant receive proper service, songs take too long in loading (online)",Rated 3 stars out of five stars,,4-Apr-20,
,,,,,
Chris Shelby,"Gets the job done, but does have various bugs including when listening to downloaded music when theres no service Im unable to choose a song by choice and forced to shuffle. Playlist will restart or bug out sometimes rarely.",Rated 3 stars out of five stars,3,8-Apr-20,
,,,,,
Sunshine,"The new update is messing things up as in not playing any music, music skipping through all tracks without playing anything and not being able to download any music as well. I have a Samsung Galaxy S7.",Rated 1 stars out of five stars,6,3-Apr-20,
,,,,,
azabe shaloom,I love it. Except where it suddenly moods up and refuses to download songs. Hastle of unstalling and reinstalling again. Also could you look into getting us albums that match our ones or so instead of random ones that are a hit?,Rated 4 stars out of five stars,,6-Apr-20,
,,,,,
Paul Androe Salceda,"Please fix the bug when using this app offline: when we click a song, it doesnt play immediately. Were going to wait for minutes in order the song to be played.",Rated 3 stars out of five stars,5,4-Apr-20,
,,,,,
T N,Having so many random issues like the next list repopulating even after Ive deleted them all one by one or not playing the song that Im clicking on. Now i cant even log back in. This thing is too glitchy.,Rated 2 stars out of five stars,4,3-Apr-20,
,,,,,
chinazo azike,"After my 3 month trial which I really enjoyed, apple music logged me out even after I updated my account details. I have forgotten my ID and i tried to get it back but still to no avail.",Rated 3 stars out of five stars,,9-Apr-20,
,,,,,
Josue vazquez martinez,If you download music and you go to the album doesnt allow you to play it you have to look for it with the rest of the songs. Also the app itself is very slow when you are looking through the library.,Rated 1 stars out of five stars,,10-Apr-20,
,,,,,
abbreviatedalex,"I used an iPhone for years, so I was excited to see I could still use Apple Music if I switched to Android. Unfortunately, even setting aside the awful UI redesign, the app on Android is a glitchy mess. Every time I open the app, something goes wrong. Songs refuse to play, or skip halfway through. A...\nFull Review",Rated 2 stars out of five stars,9,23-Mar-20,
,,,,,
Melissa Brown,As a previous customer of Apple Music I get an invite to start a free one months trial.I install the app having to go round and around in circles to reactivate my account. Only Apple Music doesnt work on this phone.So pointless.,Rated 1 stars out of five stars,,4-Apr-20,
,,,,,
Abdumaliki S Abdullahi,"The new updated version crash every time and songs aint playing individually, I have to play the entire album in order to play just one song from it. Its really bad please fix it",Rated 1 stars out of five stars,,6-Apr-20,
,,,,,
Burnout Bros.,"I was using the Apple music app perfectly, but when I switched my account from one phone to another it stopped downloading music. This is really frustrating because I cant listen to music offline.",Rated 2 stars out of five stars,,7-Apr-20,
,,,,,
Isabel P,Keeps skipping songs! It was working just fine then all of a sudden it wont load any songs and just goes through my library without playing anything. Fix this!!!!,Rated 1 stars out of five stars,,3-Apr-20,
,,,,,
tender Puppeteer,"Dear developers, let this app see music I had earlier on my devices. Most of those items csnt be played because it says its not avalaible in my country. But its already here and I want to add it to the player. When you use iPhone, you can actually synchronize all the data with all the media you p...\nFull Review",Rated 1 stars out of five stars,,9-Apr-20,
,,,,,
Gustavo Hernandez Minetti,Has this app been tested properly? I tried to manage my subscriptions and it does not work at all. I get an undefined error on my galaxy s10. Perhaps apple should hire more testers next time.,Rated 1 stars out of five stars,,4-Apr-20,
,,,,,
Tyler Howell,"The 3 month trial baited me in, and boy am I glad it did because the Interface and music library are perfect. Simple, without lacking any essential features",Rated 5 stars out of five stars,1,8-Apr-20,
,,,,,
Aakash Vats,"I used it for a long time now on my android phone. Everything is working fine except whenever I play, pause or skip song to any time of a track, I hear the notification sound from my phone. Its very very annoying, frustrating and irritating. Please help me out. It happened some 1 or 2 months ago(no...\nFull Review",Rated 3 stars out of five stars,88,15-Mar-20,
,,,,,
Mary Mitchell,"Doesnt work well with my Galaxy S7. Maybe its because its an Apple product, Im not sure, but there is always a lag time when the first song plays. The app constantly freezes and has to restart. One thing I wish they could update is the search bar. Once I click the search icon, it should automati...\nFull Review",Rated 3 stars out of five stars,,15-Mar-20,
,,,,,
Aditya Baliga,Facing Billing issues. Keep getting mail saying Billing problem. I update payment methods every time. This issue keeps repeating and Im not able to subscribe.,Rated 2 stars out of five stars,,5-Apr-20,
,,,,,
Robert P. Ruddle Jr.,"Wont play mp3 tracks I own and stalls because it seems to be verifying my content. I own ( to this day, this company made me distrust digital content entirely ) hundreds of CDs I copied to my iMac taking nearly 500gb of drive space. Doesnt play content I purchased from the \xf0\x9f\x8d\x8e ripoff center. Though...\nFull Review",Rated 2 stars out of five stars,,9-Apr-20,
,,,,,
Gareth Clarke,Bluetooth audio output considerably lower compared to the likes of SoundCloud and YouTube. Using Samsung Note 10+ on One ui 2.1 if that helps to fix bug. Please fix!,Rated 3 stars out of five stars,,9-Apr-20,
,,,,,
Michael,"It\s a decent port but it\s missing a key thing that\s keeping it from me rating it a 4 or 5 star app. After searching for an artist using the search function then pressing either albums or songs, you can\t shuffle all songs. I know you can just find the artist under artist and shuffle from th...\nFull Review",Rated 3 stars out of five stars,,24-Mar-20,
,,,,,
Daniel Bergl\xc3\xb8v,"Tried several times now, to setup an account. Two first times, it just popped up with a message saying, that an there was an error. I forced closed the application and tried again. This time, whenever I finish the setup with the email verification, it just starts the registration from scratch. Im d...\nFull Review",Rated 1 stars out of five stars,,21-Mar-20,
,,,,,
Israel Ugboduma,"I cant access my library. It keeps telling me to load library. Anytime I want to add a song to my library, it keeps telling me This action is not available while your library is loading. \xf0\x9f\x98\xa9",Rated 2 stars out of five stars,1,6-Apr-20,
,,,,,
Ben Mastin,Absolutely pointless. Just does what it feels like and often wont download a full album unless you tell it to multiple times. Often just ignores certain button presses. Get used to the phrase Something went wrong. Try again later. Shuffle and repeat functions are obtusely placed. Cant queue up d...\nFull Review,Rated 1 stars out of five stars,23,12-Mar-20,
,,,,,
Iker Ik,"Some bugs with songs getting added to the library but showing on the artists page as not added. Shuffle and repeat buttons are hidden instead of in the player. I like the Favourites list, but the discovery one is lacking A LOT. It should be like Spotify. For example, I like hearing music in differe...\nFull Review",Rated 2 stars out of five stars,67,12-Mar-20,
,,,,,
Doug Feng,"I have a smart playlist for any new song added recently to show up there. About 3 weeks ago, a bunch of songs that were once in my library years prior show up at the very top now (and they are no longer in my library - shows a + sign instead of the download) so it violates the smart rules set up. ...\nFull Review",Rated 1 stars out of five stars,,25-Mar-20,
,,,,,
John Simeon,"*****Feature Request***** Great app for music and the fact that its multi-platform is also a plus. Could we also have an option to: - Play on one device and continue on another. - See whats playing on other devices. - Play, Pause, Next, Previous the now playing from any other device. These feature...\nFull Review",Rated 4 stars out of five stars,,28-Mar-20,
,,,,,
aditya arora,"It is fine. You can optimize it much more. And please when we click on the search icon, why do we have to click once again on the search bar for the keyboard to pop up. That does not make any sense. If I have clicked on the icon, that means I want to search a song/artist/album. I shouldnt have to c...\nFull Review",Rated 3 stars out of five stars,122,30-Mar-20,
,,,,,
Dennis Brusilovskiy,"Glad to have this app on android but it\s so buggy it\s barely usable. I have it on an android tablet, and the now playing screen is so narrow in landscape mode that I can\t read the name of the song currently playing, nor can I skip or rewind (because those buttons are cut off) nor can I view lyr...\nFull Review",Rated 1 stars out of five stars,,15-Mar-20,
,,,,,
Tom Mullaney,Android and web app are afterthoughts and do not work well. I often get errors with poorly formatted text that say I am out of devices. I only have one Android phone trying to play music. I expect a way to override and play music at the current location but that feature does not exist. I cant cast ...\nFull Review,Rated 1 stars out of five stars,,17-Mar-20,
,,,,,
chris haase,"My experience is pretty okay but, really guys youve gotta fix the queue. I really appreciate you have an app for Android, however if you could revise the problem of the play/pause icons blocking any form of queue edits or playing the next song (especially at the top of your queue) and simply move i...\nFull Review",Rated 1 stars out of five stars,,21-Mar-20,
,,,,,
Jayzi,"from the latest update it is crashing all the time, Im paying \xc2\xa39.99 a month and this is the service Im getting, you should really test your app before you send it out, and by test I mean on an android device not an apple device, this is a joke what Im experiencing. I pay for a service I expect it...\nFull Review",Rated 1 stars out of five stars,,17-Mar-20,
,,,,,
Alec Schwartz,"The app overall is good, but I would change some stuff: overall compatibility with Android, streaming speed (both iOS and Android), the playlist selection and For You page was good but now lacking behind Spotify. Open public playlists would be amazing to have, good podcasts, and bit more features wo...\nFull Review",Rated 4 stars out of five stars,,2-Apr-20,
,,,,,
J HC,For the most part very user friendly and intuitive to use. A couple things in future updates to create a seamless transition with music already purchased and/or uploaded into iTunes: 1. Ability to sync music uploaded/saved to iTunes into Apple music from computer. 2. Selecting multiple songs to move...\nFull Review,Rated 3 stars out of five stars,,25-Mar-20,
,,,,,
Mark McNiven,"Great app, although, they have a habit of deleting albums and songs from their library which means they are no longer available & there have been a number of times Ive searched for certain songs only to find they dont have them. I think that having to pay \xc2\xa39.99 a month you would think that the mus...\nFull Review",Rated 4 stars out of five stars,,16-Mar-20,
,,,,,
Maurice Hendry,"As of today it doesnt play music. It began freezing when I was switching songs and now does not work at all even after restarting the phone. Also, I dont think its fair or reasonable that simply because I switched from an iPhone to Android, that I should suddenly have to pay to play my own music ...\nFull Review",Rated 1 stars out of five stars,130,14-Mar-20,
,,,,,
Luis Mesia,"waaaay too many bugs when adding or downloading music, going back to main page, even when visiting artist page and going back UI dissapears and have to close the app. Sometimes when playing x song and turning off the screen, the song stops midway and have to go to the next song and go back to play i...\nFull Review",Rated 1 stars out of five stars,6,14-Mar-20,
,,,,,
Harsh Bhat,"It keeps crashing minute after minute and it is so frustrating for me I am not gonna pay for money for such a app, even though it has an amazing catalogue. It really is disappointing and I hope they do something to it so that it will work properly. It really is frustrating and I am gonna uninstall i...\nFull Review",Rated 1 stars out of five stars,,4-Apr-20,
,,,,,
jonathan carter,Does not give you your music library that you paid for just offers you a subscription to pay monthly not to buy I dont listen to much music and I would rather buy my music from now on CDs,Rated 1 stars out of five stars,,7-Apr-20,
,,,,,
Thi\xe1\xbb\x87n V\xc3\xb5,"Serious problems with connection (loads songs very slowly on a 30Mbps connection). Lacks functionality in comparison with its biggest competitor \xe2\x80\x94 Spotify (e.g., sleep timer). Personal mixes are good but not as good as Spotfify. But I kind of prefer the apps simple design over Spotifys a bit, thou...\nFull Review",Rated 4 stars out of five stars,,18-Mar-20,
,,,,,
Roshit Hample,"My past one year experience with app is not so good. Earlier I had a cheap android phone and this app used to lag a lot on it. But now that iam using a 1+ device it isnt as choppy as it is supposed to be. Apple is known for its quality and if this is the quality that they are delivering, I think t...\nFull Review",Rated 1 stars out of five stars,29,17-Mar-20,
,,,,,
justine wittels,App was working fine for my country. All of a sudden songs that have been working for the last year are showing as not part of my countrys rights but what changed? I cant even download or listen to songs now without this country warning blocking functionality. Please fix this. I need some lockdown ...\nFull Review,Rated 1 stars out of five stars,8,1-Apr-20,
,,,,,
mikaela mae,"wanted to switch bc audio quality is better. HOWEVER, the app is incredibly buggy. playlist cover arts often go missing, library takes forever to update even with a fast internet connection, downloaded songs glitch (like how the music skips when a CD is scratched or when a needle skips over the groo...\nFull Review",Rated 2 stars out of five stars,,5-Apr-20,
,,,,,
Abhishek Sahu,"Latest update came with lot of bugs firstly i have to press two times to play a song and its quite irritating (This is occurring only when the phone is connected to external bluetooth speaker), also earlier if there was only one song in an album it starts repeating the song but now it just stops hav...\nFull Review",Rated 1 stars out of five stars,,15-Mar-20,
,,,,,
Favour Emma-Nwachukwu,"Itll work well for a while and then crash; you wont be able to play any music although you can still see your library and downloaded songs. But you cant play them. Then Ill have to uninstall the app, redownload it and all my songs too. Its gotten irritating at this point. Ill be moving to Spot...\nFull Review",Rated 1 stars out of five stars,10,16-Mar-20,
,,,,,
Partha Thakuria,Service is fantastic. The app is a bit on the slower side but overall experience have been stellar.,Rated 5 stars out of five stars,1,6-Apr-20,
,,,,,
Maurice Easter,"I love apple music but not on android. Currently using on the galaxy s9+ and I swear I have to uninstall and reinstall this app every few days. Music just stops streaming sound out of nowhere, sometimes when trying to play music it just keeps pausing and pausing in a continuous loop. Definitely wish...\nFull Review",Rated 2 stars out of five stars,17,1-Apr-20,
,,,,,
Duncan Goetze,"Recent update strange: I can no longer seek within the audio file, ie. I cant choose where to start playing from. I usually want to hear the whole song, but sometimes I want to seek within it. Otherwise the app is fine. Its recommendations are generally more accurate than other software, it has a c...\nFull Review",Rated 2 stars out of five stars,,14-Feb-20,
,,,,,
Elizabeth Ojewunmi,"Exceptional music app!!! The ease at which I can find any song, access new and constantly updated playlists, and being able to sing along with the artist through the lyrics feature, are truly amazing. The monthly subscription fee is quite moderate considering the volume and array of songs I have acc...\nFull Review",Rated 5 stars out of five stars,232,20-Feb-20,
,,,,,
Kamran Pirzada,"Its good, The all over experience is great, wide music range, awesome UI, great music quality. Ive been in love with this App.! Only thing i want in this is the Volume Button, like in the iOS music App.! That volume Button on the bottom gives chills, thats all i want in this Android Apple Music A...\nFull Review",Rated 5 stars out of five stars,14,13-Mar-20,
,,,,,
Victor Br\xc3\xa6nd,"There has been some problems making this app barely usable but these have been fixed. Thouhg there is still some problems which are not bugs. Quite often, albums genre is categorised wrong. There is also apparently no way to unlike or undislike everything which makes the recommendations quite bad d...\nFull Review",Rated 3 stars out of five stars,6,22-Mar-20,
,,,,,
Aaron Farn,"My gf was trying to use my apple music & it asked for a 6 digit code sent to a cell # that I didnt recognize, it wasnt the # attached to my account. They wouldnt remove the #. I spoke with 2 support techs who were incredibly lazy and all they would do is send me articles to read on my own. Long sto...\nFull Review",Rated 1 stars out of five stars,,22-Mar-20,
,,,,,
Chrissy Biebel,"This app sucks with Google. Constantly getting billing errors, but its billed through my cell phone. Usually I can just log into my apple account to get around the error message, but apparently not any more. I do not recommend any Android users pay for this. When it actually works though, its grea...\nFull Review",Rated 1 stars out of five stars,,27-Mar-20,
,,,,,
Diamond Imperium,"So many bugs. Keeps saying I have no music downloades but the downloads are taking my storage, app glitches a lot worh downloads. Tempted to switch to Spotify",Rated 3 stars out of five stars,9,5-Apr-20,
,,,,,
\xd7\x90\xd7\x9c\xd7\x99\xd7\x90\xd7\x91 \xd7\x9e\xd7\xa8\xd7\x9c\xd7\xa0\xd7\x93,"Strange how apple made this app so badly. Especially since the last update. Playlists dont work anymore, songs just play on repeat. The shuffle and repeat options are sometimes impossible to reach. Any time you minimise the app and go back to it goes back to the main page, so navigating the app is ...\nFull Review",Rated 1 stars out of five stars,62,15-Feb-20,
,,,,,
Heather Kaye,Good...have had trouble with some songs and some glitching but mostly good and I get a free subscription because I have Verizon contract phones,Rated 4 stars out of five stars,,10-Apr-20,
,,,,,
Nahal Gomel,"I really like the app in comparisons to other music streamers, but recently it crashes and dont load quit often.",Rated 3 stars out of five stars,,9-Apr-20,
,,,,,
Kaylyn Daniels,"The new queue update is so annoying. Especially when Im removing songs from up next and after each song I remove it shoots back to the top of the list. Not to mention that the control buttons cover up like a third of the songs in the queue, feels a bit claustrophobic. They disappear when you scro...\nFull Review",Rated 3 stars out of five stars,182,15-Feb-20,
,,,,,
Lu\xc3\xads Costa,"This app has nothing on Spotify. Ever since it was released it is glitchy, slow and the menus are not intuitive. A few years have passed and nothing changed - even the interface is bland and outdated. I am getting this for free from my service provider and still I subscribe to Spotify from time to t...\nFull Review",Rated 1 stars out of five stars,,7-Mar-20,
,,,,,
Aniruddh Joshi,Apple music is amazing when used in iPhone but it lags a lot in android. They can have the volume slider just like it is in iPhone and more options in how to arrange the songs in playlists. Ive been using apple music for like 2 years in iPhone and I seriously think since the time Ive started using...\nFull Review,Rated 2 stars out of five stars,,24-Mar-20,
,,,,,
ahmad agbaje,"It just suddenly glitches and I cant play any of my downloaded music, add to my library or edit/create playlists. I dont understand it but Im really disappointed in apple. Why release the app if theres still a thousand bugs? And they do t even reply to these reviews because they dont care about...\nFull Review",Rated 2 stars out of five stars,58,4-Apr-20,
,,,,,
Jan Rymarz,"I expected more. The Android version is less polished than the iOS version. Eg there is no volume bar so you need to use the phones physical volume rocker to adjust volume. Also, you cannot change the music genres entered when first installing the app so if youre not careful, tough luck (thats no...\nFull Review",Rated 3 stars out of five stars,,22-Feb-20,
,,,,,
Joseph McKenzie,"Pros: Good sound quality Cons: Unintuitive UI. When adding multiple songs to a playlist, you have to check the song, click the check in the corner, and then click the check on the playlist itself to say youre done editing. Thats far too many checks to be intuitive or user friendly. I am also unabl...\nFull Review",Rated 2 stars out of five stars,,7-Mar-20,
,,,,,
Dawn Barclay,"This is supposed to come free with my phone subscription, I was able to use it once. The next time I went on i had trouble with it and any history of me being on the app was gone along with my libray. When I tried to get on it said it didnt recognize my id, but when i tried to make a new account it...\nFull Review",Rated 1 stars out of five stars,148,11-Mar-20,
,,,,,
TheAtom,COMPLETLY USELESS! Cant get all the songs I BOUGHT WITH MY OWN MONEY! Its just another protal that allows the new greedy overly corprate apple to force Apple Music on us. All it does is pester you to subscribe to Apple Music & it has no way to acces our personal iTunes library so all that money we s...\nFull Review,Rated 1 stars out of five stars,7,18-Mar-20,
,,,,,
Chris Kelley,I just went through a 1 and 1/2 hour ordeal just to be able to get access to this app. No wonder I didnt keep it in the past. Now I remember that I had trouble 2 times in the past with this app over the years. I finally decided to download it because I want to try to get all my music in one place. ...\nFull Review,Rated 2 stars out of five stars,,25-Mar-20,
,,,,,
Alberto sanchez,"It works as intended its just that it does stuff that can drive you batty. Some new downloads never ever show up in the recently downloaded section. If you download more than 2 albums simultaniously, there is a good chance some songs will get stuck in a downloading loop. Oh! And if you dont turn off...\nFull Review",Rated 3 stars out of five stars,,29-Mar-20,
,,,,,
FaZe frisen,I have used apple music for years and love it . The only thing they should change is the songs they delete I have had a bunch of my music deleted,Rated 5 stars out of five stars,,10-Apr-20,
,,,,,
Tamesha McFarland,"3/7/20 ETA: App doesnt work on the Galaxy S20+. Will not allow you to sign in.: Im not sure why this app is so horrible, but it is. And every update seems to make it worse. i switched to Apple Music from Spotify because i like how you can make smart playlists to listen to songs you havent listene...\nFull Review",Rated 1 stars out of five stars,,8-Mar-20,
,,,,,
Andrew Lockhart,"Love the new personalised radio station. Saves me switching between the different genres. *Edit: Has been very buggy of late on pixel 2xl running Android 10. Sometimes when opening get a bare screen. Only the play button and playlist menus show up (both unresponsive), need to close and reset a few t...\nFull Review",Rated 2 stars out of five stars,,13-Mar-20,
,,,,,
Creepy RadioPasta,"Pretty good, save for the many and numerous bugs. On this version (the android version) its somehow less buggy than the iOS version, but the bug that both share is that when moving songs in the queue they get shifted in a very haphazard way: being flung upwards and downwards at seemingly light spee...\nFull Review",Rated 4 stars out of five stars,,7-Feb-20,
,,,,,
Jonathan Newsham,"Much improved from when I last used this app but it still doesnt mean its at all close to Spotify. Recommendations are very poor and slow to update, which is the main reason I use streaming apps. And for some reason the Android version of this app has a glitch that when scrolling for a letter does...\nFull Review",Rated 3 stars out of five stars,,12-Feb-20,
,,,,,
Evan Rothenbacher,"Great app missing some features though. Id like to be able to control what Im listening to using my phone if Im on my computer. Next is the skip option, basically when you skip it will stop what you are listening to and switch song without unpausing. Lastly Ive heard about how people were compla...\nFull Review",Rated 4 stars out of five stars,,3-Mar-20,
,,,,,
Ken Mai,"Worst UX ever. Why is the shuffle and repeat hidden? Even after pressing the button to reveal the shuffle and repeat, its still hidden! You have to do some other action to reveal the repeat and shuffle. Its completely unintuitive. Oh yeah you also cant shuffle all of an artists top tracks? You ca...\nFull Review",Rated 1 stars out of five stars,,6-Mar-20,
,,,,,
Thomas Martin,"I like the music selection, but the functionality seems to be getting worse. I used to be able to play top songs from an artist in my car, but theyve changed it so you can only listen to one song at a time. It will not advance automatically to the next song and you cannot skip forwards or backwards...\nFull Review",Rated 2 stars out of five stars,,6-Mar-20,
,,,,,
Yanni Kien,"awful since the update, ever since the update my app has been acting funny skipping through several different songs not playing at had to force close the app I had to clear my cache and cookies Ive had to uninstall the app and I still cant play music cuz its keeps skipping eats and every song but...\nFull Review",Rated 1 stars out of five stars,,27-Mar-20,
,,,,,
Shareen Thornton,"A wide variety of music and podcasts. Works excellent with Apple products, however it runs very slow on Android. If Apple wishes to include their apps to work with Android based products then it should be made to work just as well as it does with iPhones, iPads, ECT.",Rated 3 stars out of five stars,2,1-Apr-20,
,,,,,
Mallary Frassinelli,i dig this app. i almost never have issues with it except some cover art glitches. the sound quality is fantastic. ill add two stars to my review for the ability to sort by BPM in the app. id also like to see number of songs listed in playlists and genres. i miss knowing how many songs are in a pl...\nFull Review,Rated 3 stars out of five stars,,2-Feb-20,
,,,,,
Efrain Navarreterios,Note 10 plus user. I could have the fastest wifi connection and it still takes so long to buffer music. It doesnt take as long on my mobile data which is weird because I dont have the best connection where I live. It wasnt always like this but with recent updates it acts glitchy. When I am on my ...\nFull Review,Rated 1 stars out of five stars,,24-Feb-20,
,,,,,
Paul Gwajime,"This app constantly give issues. Even after downloading songs for offline play, it most times require me to use my WiFi to play the songs......its annoying bcuz the aim of playing songs offline is killed. The app also use to crash every week but it has now reduce very much.",Rated 2 stars out of five stars,,19-Mar-20,
,,,,,
