,review,classified
12,"I am suddenly a little confused. I get that the app will slip in a song it thinks you might like. Thats fine. My favorites I have selected are metal, hard rock, classic rock, and a bit of progressive rock. Suddenly today it thinks I like rap and doesnt play anything from my favorites. At first it ...\nFull Review",Strength
13,"Ive first used the web version which I love it. And the app is amazing too. Thats my number 1 web-based and app for listening to music. I signed for the paid version, and in the free days period I was so happy I decided to keep my signature. Keep doing it greater.",Strength
14,Rubbish to many bugs freezes constantly have to restart your phone to get it to work also if you have made a playlist it wont let you click on it you used to be able to go back a song on flow but that only works when it wants to.,Opportunity
15,The help I have gotten regarding my issues with this app have been rather poor but I use it on a daily basis and refuse to delete it unless there is no other option. My problem is that when I play my favourite tracks it is totally disregarded and the app plays what ever it wants. I would very much a...\nFull Review,Weakness
16,"I believe in starting everyone at 5 stars, but I dont have a membership so I cant experience the full Deezer experience, so I would be inaccurate to report a 5 star experience. In this situation, 4 stars is as good as 5. Really enjoying the curated playlist as it gives me a fresh and new opportuni...\nFull Review",Opportunity
17,"This was awesome but then today when I clicked shuffle play my favourite tracks, a song I didnt add in pops up. I keep shuffling but its always a different song that is not inside my favourite tracks. This is the first time it happened so I went to another account but same thing happens again. I ev...\nFull Review",Threat
18,"I really do not like how the navigation works in this app. If youre in an artists discography and you want to search for another artist or song, you cant simply just search for that music. You have to back out to the main menu where the search button presents itself. Also what is up with the lack ...\nFull Review",Weakness
19,Wonderful app for people who have premium... Without premium its just annoying way to listen to the music. 30 second ad for their app when i am using the app:))) its ridiculous... Bc if i enjoy Ill recommend it on my Instagram or show it to all my friends but with this ads of course i dont recom...\nFull Review,Strength
20,It is working well. however there are some songs that i have saved on multiple different playlists and the app refuses to play those songs under any circumstance. now if i press play on the smallest playlist i have featuring those songs it adds songs i dont have on any playlist or favourite tracks....\nFull Review,Strength
21,The app closes everytime my screen locks. This is very uncomfortable. I cant have my screen on everytime. This is supposed to be a music player not a video player. You guys need to fix this ASAP. The problem is not from my phone cus Ive put all the right settings to stop it from happening. Its a ...\nFull Review,Strength
22,"I used to love this app, the reason that i hate it now is that the downloaded songs i have keep getting deleted, for a third world country with a slow internet it is very annoying to keep redownloading the songs over and over again. Hey deezer the problem is in your part so please fix this or sooner...\nFull Review",Strength
23,"The app that finally converted me into using streaming services. Still, there\s a space to improve (my ideas below) - 1. Import Request album / artist functionality so users would know what to expect for specific artist. 2. Make a function create list of ARTISTS, not tracks (which you want to list...\nFull Review",Threat
24,"I have a problem, apparently, theres no option for sharing songs on Instagram Story. Can anyone tell me is that the new update, or bug? Beside that, everything else is great. I really like Deezer.",Opportunity
25,"Works great now, but I would really like to see history of tracks shared to my followers with comments I made on PC version. Of course I would like to make comments while sharing tracks also on my Android version. Thank you, if you reading this, I really like to use Deezer)",Strength
26,"I used to really enjoy this app, but theyve made it so you cant pick your playlists and have only the songs on the playlist play. If I want to be introduced to new songs Ill go to my flow, but sometimes I just want to listen to my songs on my various lists. And now I cant even depend on that to ...\nFull Review",Strength
27,"Its very convenient. Moreover, its way more user friendly than most of the competition. However, it takes sometime for the new deejays remixes and artists to be able to find their full music list, such as izzamuzzic & teemid.",Strength
28,I have been paying $14.99 a month for a long time for me and my family to enjoy music. And now for some reason its all gone. Saying my trial is over. What trial? Then when I try and select the option to use dezzer family it ends up choosing deezer hifi and my family is locked out. This is bullcrap....\nFull Review,Strength
29,LOVE IT got a 3 month trial where ya dont have adverts a LOVE LOVE LOVE IT can get any song ya could think of on ya can hear a song and just press the search and itll recognise it for you and save it . Am nearly 50 and a was like a kid with a fantastic new toy. Love me music mainly a rock person bu...\nFull Review,Opportunity
30,"I had to uninstall my app an install it again because my music abruptly stopped playing. After installing the app, I now realise that Ive lost ALL of my previously downloaded music. Im annoyed because the music that Ive accumulated took quite some time to do. Im NOT happy.",Opportunity
31,"Would be a good app if it wasnt for the technical problems and terrible support. For several times my Internet is super fast on every application but deezer wont load songs, or will take a long time to buffer them. Interface is buggy specially the desktop version. Have tried to contact their suppo...\nFull Review",Weakness
32,"Its great when it works but it only works maybe 60% of the time. Mine stopped working permanently about a week ago and nothing helps. I uninstalled it and reinstalled and now I cant even get back into my account, it wont let me log in. I pay for premium too",Weakness
33,"Very Happy Experience, pretty cool app, interactive interface with loads of fun. The offline feature makes it really exceptional, and also the listen around feature(whats this song) is one of a kind......... Very unique and different from other apps i have been using in the past before. Love you guy...\nFull Review",Weakness
34,"Love the app, there are a few small points that could be improved to bring it up to 5 stars, being able to remove songs from the que more than once at a time. Having summary of your music history like Spotify do.",Strength
35,"I was using deezer for a long time for free, but a while back something has changed when I listen to my Playlist it puts a whole other different song I tried everything, even deleted it reinstalled but it still wont work, Im pretty sure u guys made it to kick out all the free users or force them t...\nFull Review",Strength
36,Way better than Apple music!!! One note: Apple music android app is sluggish yours is perfect but please improve your Mac app at times it goes RTL on its own and there are some state issues during playback at times which makes it play a song above the one clicked.,Threat
37,"Deezer doesnt play my music anymore. Deezer keeps introducing more and more features to force people to subscribe. What happens now is that Ill shuffle a playlist and Deezer will play a few popular songs that it wants me to hear (none of which are in my playlist or a remotely similar genre), the...\nFull Review",Threat
38,"Love the app, wish i could afford premium though. Had the free trial but didnt know it till my card was charged (and denied, im broke!). Maybe they are cool and will let me have a real go at the free trial! If its better than you tube music i will definitely and gladly give my money to Deezer! Eh?",Strength
39,"I dont know why but after a while when playing from a playlist or album it will stop at the end of a song, the screen reads loading, and wont play the next one unless I push next manually. And it does this many times. Was the same also before last update.",Strength
40,"Music availability & user interface takes a star out of it but its a good music streaming experience still. The former is limited depending on genre (I like JRock for instance) and the latter is extremely dated with confusing tabs and ugly overall feeling. Still, both work thus Id classify them as...\nFull Review",Opportunity
41,Im really loving this app. Im using free trial for now. Its working really fine. Im just sad that after this trial I wont be able to listen to my downloaded songs offline. And I think deezer is more fancier than Spotify. You have to pay anyway,Strength
42,I only rate with one star because I wasnt allowed to rate with no stars. I really hate this app. It has a nasty habit of playing random songs from different artists when all you want to do is listen to a particular album from a particular artist! Please fix this or I WILL delete it!,Weakness
43,"I have used this app enough that i got around 1405 tracks in my favourites. Everytime i try to use the favourites section, it either takes a minute to load or doesnt load at all. For a while, the app has just been a struggle which isnt nice cus i love this app. Please fix this.",Weakness
44,I got this because in my country it had the most reasonable family plan and it worked through my digital tuner. I was pleasantly surprised at how nice it works. There is a plethora of music and i can find the very large majority of what I search for.,Weakness
45,Constantly bugging me with the warning that only one device can stream at the time - when only one device is active (current phone) and only that phone is listed under my connected devices section of the app. Earlier versions didn\t have this problem. Fixed now,Strength
46,"It shuffle my songs and play list every time I would log on. And when I would type the name of the song it wouldnt be there, but when I look up the creater then I would find the song.",Threat
47,The best app on my phone. Great sound. I love how they create a playlist whenever you search a song and the next track would be the same genre in the same time(related).,Weakness
48,Only d/loaded 5 days ago but very happy...competitions system is erratic at best..glad I found DEEZER \xf0\x9f\xa4\x9f\xf0\x9f\x92\xaf\xf0\x9f\x98\x8e\xf0\x9f\x8e\xb5\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb8\xf0\x9f\x93\x80 \xf0\x9f\x9a\xbdall over competition ..LOL 08/03/2020..Still v happy .Deezer is to has lyrics for many songs..opposition cant b bothered.\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\xf0\x9f\x98\xb3 up til 5/4/2020 it worked ok but then I realised ...\nFull Review,Opportunity
49,Great app. Just wish it would load playlists a bit faster and recognise when Im not connected to internet instead of me having to switch off all mobile services to load my downloaded playlists,Strength
50,"The app is all good all around, although it does occasionally display errors while loading songs (even if they are already downloaded), but it has loveless, so im sticking around Edit: I am stupid, my phone storage was full :/",Weakness
51,I Think the app is ok but after the trail ends the payment method is not common to most users i 4 example fail to create a PayPal account . It isnt like i dont know how to create an account The issue is that when trying to sign up for the account it just doesnt load hence need for more payment op...\nFull Review,Weakness
52,BEST MUSIC APP EVWR!!! Check it out if you want to listen to Good(High) Quality Music and want a very simplified MUSIC listening experience. The app is easy to operate and you can find almost all the songs available in the World!!! And Pretty Suave Design and Look too.\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f,Opportunity
53,"Your previous versions showed the amount of tracks on a playlist and the duration of the playback, and I miss that on the latest versions. Please bring it back again!",Strength
54,"The app is now completely ruined. None of the songs from my playlists are playing AT ALL, it just plays a random song from the charts. It used to only do this now and then, but now its literally impossible to play a song from any of my playlists.",Opportunity
55,Garbage. I spent hours placing bands and songs I like to listen to. The deezer app plays more songs and artists I did not select to my favorites. The bands and songs you select to favorites the app only plays one song and only the one song by that band. Horrible app not worth the data usage.,Strength
56,"It is practically useless because most of all favorite songs are Deezer Premium, so if you think that this is a music app, you are wrong... I would highly recommend not installing this app if you wish not to pay for the useless premium pack, Thank you, and I hope you take notice of this.",Strength
57,Lovely mix. The algorithm still needs to be worked on though. I know theres no way you can connect to the human feelings in order to keep them in consistent ecstasy with the right songs but more work can be done on the AI algorithm,Opportunity
58,"Nice! So other options were not available in my country, only this was, so i was kinda sceptical, thought it would be as good as Spotify or others. Finally have it a try, got 3 months of premium sub and its just as awesome as others, if not better even! Thanks Deezer!",Strength
59,This app is pure trash you cant even listen to a full track without being in the premium subscription you cant even skip songs they only give you six songs per hour to skip and between each one there is an ad honestly i used to love this app but now it way too limited for users who arent on premiu...\nFull Review,Threat
60,Deezer needs to show the explicit tags in the Sonos app too. They also need to go through artist discographies and start showing the explicit albums over the clean ones on artist pages so the people dont have to search for the explicit album and can instead go to the artists page to play it. Examp...\nFull Review,Weakness
61,"After using Spotify for a while I ended disliking its app design, both in android and web. I do like much better Deezer. It has some features missing like an indication a song is already added to a playlist and sometimes is slow to seek songs but in any case a good experience.",Weakness
62,Its so cheep you do to the app. We cant play what we want. It need premium account to play what we want.otherwise it only gives preview of the song. Dont use this app. Ads are play after each song. I would not recommend this app to anyone.,Strength
63,"Cant access my music and in trying to choose the premium package, I cannot go past the screen that requires me to add my email. It keeps stating this email is in use. That does not help as that is my email address",Weakness
64,"Wooow.. I found my favorite band that I dont find ever on Spotify! Its Southern Sons (Aussie band). Subscribed straight away (thanks for 3months free trial)! I fed up, deactivated and uninstalled Spotify after getting troubles everytime my subscription finish and all. Love from Austria!",Strength
65,"Similar to Spotify but a little simpler. Although, it is improving all the time. Big fan!",Strength
66,I was using it and going in then I tried without Wi-Fi and it said u can subscribe but u have to pay to stay after 3 months but Ive been on it for like a week and it has all the songs I like but I now need to pay to lisen to themk its so stupid now I cant listen to music that I like thanks stupid...\nFull Review,Strength
67,"Deezer is great, this app sucks. Constantly loading for ages between songs is frustrating. Dont have any issue with other audio apps just deezer. Not gonna pay for an app that cant even do what its supposed to do. Time to go back to spotify.",Strength
68,"Very slow, cuts out mid song. Seems their servers cant handle the user base. I came over from Spotify premium to try their high fidelity audio quality, but ended up being such a frustrating experience that Ive gone back to Spotify now.",Threat
69,Amazing app... found some music Ive been looking for. One suggestion though. Can you create a playlist based on producers? Example: music produced by timbaland or dr. Dre? It would be so good.,Strength
70,"Ive switched to hifi recently, everytime I add a new song to my favorites it starts downloading all my favorites all over again and it takes hours, very annoying",Strength
71,"Cant really fault Deezer. Its rare I dont find the music Im looking for and I like the overall interface more than all the other music streaming apps. Casting function needs work, but other than that its top notch for me",Strength
72,"All great except two things which I miss: 1 The option to download songs instead only full albums. 2. More album features, specially recording date and place, and more details of the artists specially on the classical recordings. Thanks Best regards",Strength
73,"Has been my go to app for the last few years now, but seems to be getting gradually worse with each update. Becoming very slow and overcomplicated. Stick to what has worked and leave it ffs!",Threat
74,Its a good music app until you stop the subscription. I tried playing my fav playlist but it plays some random song I havnt heard before and non of the songs from the playlist I selected plays just some beginners to the music industry the sound nothing like 21 pilots or imagine dragons.,Opportunity
75,Deezer use to be so good and now its playing music that is not on my playlist and its completely random. I cant get listen to my favorites anymore and its really annoying and frustrating,Weakness
76,"Very good actually! Ive always used Spotify but your app is giving me quality and choice. Only one thing I wished it had, a way to play songs with no gaps...",Strength
77,"I love it, but I hate it! App is not very responsive & downloaded songs files are often not playable, you have to repair it first.",Opportunity
78,I love the app... But lately its been buffering always even though my internet speed is fast. All my other apps are streaming without any buffer. But deezer buffers a lot. It wasnt like these before. Please fix.,Opportunity
79,"Please make app remote for PC, so you can change volume and skip tracks. Its the main thing why I still using Spotify. Otherwise its really good.",Weakness
80,"1. There is an empty page between Music and Favorites tabs (when swiping between pages). 2. Please, add gapless playback option.",Strength
81,"I love deezer, have been using it for 5+ years and have now extended the account to have a family plan with a second member. We are very happy that we can listen to lots of alternative international musicians that we werent expecting to find!",Strength
82,It was really good at first but now whenever i try to listen to my favourite tracks it plays random songs ive never heard before and i cant listen to my music.,Strength
83,"This is like a radio, without commercials. Initially, Deezer had an inclination where they only played for you one type of songs. Eg, modern songs or throwbacks (with respect to genre). Now they mix them so awesomely.",Strength
84,Great app! Very good quality. Only thing that prevents it from 5 stars is the fact the app is censoring songs and you cant change it... bummer...,Strength
85,"I am free user and i dont mind commercials but after last update app doesnt work when adds start whole application stop working and it has to reset, whats the point of app if i have to reset every time after song...",Strength
86,When I first started using the app it was working so well.....now it takes forever to load a song and while playing it sometimes stops.,Weakness
87,"Really good app and music variety. However I still dont know why I dont have some albums from Christopher Larkin (Hollow Knight OST, Monsieur Perin\xc3\xa9 (Caja de M\xc3\xbasica) and Little Jesus (R\xc3\xado Salvaje). Please add these albums to the platform!",Strength
88,"This app makes music streaming something to migrate to. Beautiful layout, the sound quality is amazing, not to mention the download speed. Truly the best music streaming app out there. No regrets.",Opportunity
89,Simple to use. Dont remember it ever crashing or encountering any errors. Much easy to sign up in the African region in comparison to Spotify. :),Strength
90,Amazing app I would totally recommend it to anyone looking for a music app and music streaming app...it is totally worth the monthly payments.,Strength
91,Terrabad. Spotify is the same price yet doesnt randomly stop playing through Google home. Spotify also has more features and is more stable. Save your time and data go straight to Spotify and use that instead.,Strength
92,Love it. Lets me listen to music all day long without advertisements running in the background or interrupting play.,Strength
93,Deezer constantly says theres no connection when i have both wifi and 4g on to help it but no. It doesnt work. It also keep constantly crashing and messing up my phone when im just changing the song,Strength
94,Excellent. I have been able to get most of the songs except BushBush in the Bush by Musique...and others but mostly..fatisfied and the quality of music is great,Opportunity
95,"I dont see any podcast page, which is a dealbreaker for me. Furthermore, the songs take ages to load. Otherwise, it is a fine app",Weakness
96,"Lovely app, but there are some music I couldnt listen to because its not available in my country. Kindly assist to fix that.",Threat
97,"Ultra slow music search/ play start. Sound quality (for premium, havent tried the more expensive hifi) isnt very good either. Interface is nice. Some sort of music VU/visualiser would be a nice touch.",Strength
98,"The diversity of available current and oldies is absolutely amazing. Having tunes for work working out , party time cannot beat it . Highly recommend",Strength
99,Used to be great. This app used to be awesome until your team of professionals started to improve it and turn it into simple piece of dark chocolate.,Threat
100,Much better sound quality and volume compared to other providers. I moved from the green ball with wifi sign and I love it!,Opportunity
101,"Works great, easy to find what youre looking for not to mention the great sound quality",Opportunity
102,"I dont even know if this app is worth one star new stars or 10 stars Devs, maybe let somebody listen to the first song or look through the first list or more than 30 seconds before you insist upon a review Thats pushy and you cant bend me",Strength
103,easy to use and worth more than Im paying for it. it also lets you see the lyrics if you want and I know that you cant do that on Spotify. 100% recommend,Strength
104,"Its similar to Spotify but I love it. Im prepium and dont know for sure what its like when its not, but I think it will sucks",Opportunity
105,"Non premium version is awful! I cant play the song, I can get a 30s preview and have to go premium to hear the full song. Will never use deezer again",Strength
106,I have enjoyed this app for a good year. Love it. but I just purchased a flip5 speaker to play my music thru Bluetooth and it constantly buffers and cuts out.... Has anyone else experienced this?,Opportunity
107,"Great music app! Never had an issue, has every song/piece of music out there and it now gives you great suggestions.",Strength
108,There are quite a few problems with songs that dont load. Please include gapless feature for Android.,Weakness
109,Great app. Ive been using it for a while now and its just awesome. It has great content and recommendations. It provides you with what you need to enjoy your music.,Strength
110,"Great app, like it better than other music streaming apps. Like the functionality.. Especially staying in the same screen when you start playing music..not changing to the played music screen.",Strength
111,Dissapointed. Keeps hanging a lot. Yet I bought a premium package. I see myself canceling my subscription very soon if this continues happening.,Strength
112,"Hire a proper UI/UX designers. If I want to listen my fav.playlist, I dont want random songs in that mix. Also I want to be able to swipe left and close the program in my notification bar, like most apps allow. And many other things...",Strength
113,"To be honest here, when Im playing my favorite song... IT KEEPS ON PLAYING THE WRONG SONG UGHHHHH! Im very tired of this madness and I hope you can fix it soon!",Weakness
114,"Two days ago was available to share the lyrics and the song with instagram stories, but now is just as message. What happened? I want this function back!",Strength
115,Nice app but when I use it my experience is bad because is slow :/. I dont know if the problem is only in Android phones.,Strength
116,"Ive always loveD the app! Well I think some songs do not have lyrics, however Its simply the best music app X1000!",Weakness
117,This is a really good app I admit that. But can you add an option for payment method using Google Play s payment method? Itll really help.,Strength
118,"App works great, never got any issues and their mixes have been a pleasure to listen to.",Strength
119,Great app. Use this every day and love it. Really simple and with a greatusic selection. Nice play lists and radios,Strength
120,"Love the app. My long time supporter, part of my life. Would be nice to have more integration with Google Assistant (play / stop).",Strength
121,I love this app! I used to use Spotify but I migrated all my Spotify playlists to here and Im glad I did as this in my opinion is the much better service and it loads up much faster which I like.,Opportunity
122,It was great for the first 2 months then and asked me to subscribe when I have subscribe and it logged me out and then disappeared I dont know?????,Weakness
123,"Meh. Not bad, needs gapless playback. Albums like Dark Side of the Moon need it. Having pauses between tracks takes you out of the element. Artist Mix aka Artist Radio needs work. Youll have the same song multiple times in a short span. Sometimes gets stuck loading next song, never an issue on Tida...\nFull Review",Strength
124,"Excellent quality, service and support been using it for over two years without issue",Weakness
125,"Promising, but needs to provide greater control of the queue for this to be my replacement for Google Play Music.",Strength
126,"Very good app. Just sometimes dont have the songs i am looking for. Especially when it comes to South African artists. But this does not happen very often though. I like this app and the layout more than Spotify. And according to google, it also has more songs than Spotify.",Strength
127,"Really fluid app. Never felt like anything was missing on it, considering the range of songs available. Overall a great experience.",Strength
128,"Has all the songs, can download and keep songs in your library and play them offline, affordable.",Strength
129,"Cool, stable, quality sound and preety good library for me. If You need any help and additional opinion I will be more then happy to contribute. Keep on the good work!",Weakness
130,"Nice app. Nicely syncs where you were listening from desktop app. One improvement to the service: have a category for Audiobooks, theres one for Podcasts and there are aduiobooks available through the service, so why not make them easy to find. One other thing: it would be great if there was less b...\nFull Review",Strength
131,"New user lets see how it goes. Was having problems with Spotify so was seeking a new option. So far Deezer seems like a decent option however it needs some adjustments. For instance it is missing some music I am looking for, it works a bit slowly and it is also a bit difficult to figure out. I will...\nFull Review",Strength
132,"Had this app for a year or so with no problems, today though it was refusing to play my playlist, i have not paid for premium and i do not plan to, but it shows MY playlist that I have made, i click on it and it plays random songs that are absolute rubbish, if i want to listen to boring cr*p then i ...\nFull Review",Strength
133,"Failed to load track messages keep appearing, even with a fast wifi connection.",Strength
134,Love this App! Thousands of song choices. Only downfall is the price but if you dont mind that than i totally recommend!,Strength
135,Great app and service. Will get 5 stars only when recommendation functionality will improve dramatically. Currently its really bad.,Threat
136,"Hello I have not been able to use your app for over a year now or probably more. The backstory is I used to pay for the subscription but I cancelled it now I got notified to only having access to my shuffled playlist, fine no problem... yet since that notification I cannot and have not gotten to pla...\nFull Review",Strength
137,"The experience is great, but in some cases it seems like an AI just allocated songs to an artists page with a similar name to the songs actual singer. This is common in less popular artists. E.g. A Croatian artist has a song sang in English by a singer with a similar name. Some manual checks of wh...\nFull Review",Strength
138,Great app if you want some music you can find relaxing music if you just want some time for yourself 5 star rating I would recommend this for music lovers,Strength
139,The app only has the popular bands. Ive found several on youtube that are smaller with absolutely great music but none of them are on here. This app only gives credit to the popular artists.,Strength
140,"Easy to use, fast and fun with huge choice. Especially like the family sign ins \xf0\x9f\x91\x8a\xf0\x9f\x98\x81",Opportunity
141,Does what its suppose to very reliable. Love you can store albums like a collection. Prefer to Spotify,Strength
142,"The app is a disaster. Ive been using Deezer for about 2 years now. Never had any problems before. But right now, there are too many bugs. For starters I couldnt play my downloaded tracks when I was offline. (I have the Premium plan) Now I cant play any songs even if online and my network connect...\nFull Review",Weakness
143,Its amazing! I use it every day and you can find literally every type of music on there with many songs with their lyrics. There are also loads of playlists to choose from for like doing different types of workouts (one for running etc) and many others! This is one of my fave apps. There are also m...\nFull Review,Strength
144,"This is your gateway to all your music, its an app that will lift you every time you pick your mood! Its personal and its exactly what you pay for, your music! Thank you Deezer.",Strength
145,"Very wide variety of songs, good quality and sound. Love that one can download an entire album or just one song.",Opportunity
146,"The songs are streamed every single time, it doesnt matter if you have them downloaded. If I put the the Offline mode, or deactivate the data or WiFi, an error message appears. So the app consumes space in your phone AND data from your cellular network. Update: the page you posted doesnt help at a...\nFull Review",Strength
147,Fantastic app love the fact that I can have all the music I like without going over board on my data usage. Thanks,Opportunity
148,This app is much better then iHeartRadio it load much faster and doesnt have to rebuff the music works well with slow internet!,Weakness
149,Easy to use and find all my songs... \xf0\x9f\x98\x94 you have to pay for it to use it or try it .. but easy to unsubscribe via the app,Opportunity
150,Im a new user. I have to say the sound much much better than my previous music player j**x! But one thing I wish I dont have to unlock my phone everytime I want to skip a song. Can you get widget shown in lock screen?,Opportunity
151,"Im trying to add my card details in order to subscribe but the app keeps rejecting it, asking me to add another one instead. This is very difficult for me because that is the only card I have and its worse cos I cant access the app to play any song at all. What do I do??",Strength
152,"I love Deezer, you can upload mp3 file if they dont have the music you want.",Strength
153,"Thank you for bringing back offline mode. However, I find that, when I remove albums and playlists from my downloads, they don\t get deleted, and they still play in offline mode and still hold up memory on my phone. Also, my notification panel never ever has notifications. It would be nice for it ...\nFull Review",Strength
154,After I have downloaded albums it still takes a lot of data and I cant listen to them offline.,Strength
155,The best music app ever! It gets to know me and recommend the right songs at the right time,Strength
156,"I have had a few music apps and Deezer is the best , by far . I have one thing I would change , if I could . I put music on my playlists in the order I want to hear it . One good example is the first three tracks , on the Robert Palmer album  Sneaking Sally Through the Alley  , are joined together...\nFull Review",Threat
157,Love the recommendations from Deezer! Definitely at the top of my list for music streaming services,Opportunity
158,"this app is great so far ^^ really happy to use it everyday to find & listen to music :) but i miss one or two albums (i\m not quite sure about it) of my favorite metal band attila, please get these as well.. second is: i don\t find an equalizer to optimize the sounds, maybe i\m just to smart to f...\nFull Review",Strength
159,"Great selection of music, the AI picking other music choices for you is better than others.",Strength
