,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob,strenth/opportunity,weakness/threats,classified_reviews
33,A Google user,"Terrible. The free version is the exact same thing as normal YT app: Keeps pausing music to ask if Im still listening, plays videos instead of the song and theres no background play. Im okay with ads but I should at least be able to listen to music without having to affirm Im still listening eve...\nFull Review",Rated 1 stars out of five stars,06-Apr-20,"{'neg': 0.06, 'neu': 0.827, 'pos': 0.112, 'compound': 0.2846}",0.2846,Positive,0.0625,0.54375,Positive,1,,1
34,Kshitij Desai,Suggestions repeat again and again and again and forever. Every time I play new song and it gives 10 good recommendations. And thats it. It repeats that same playlist once I play any one of the songs. YouTube suggestions are far better than YouTube Music App suggestions. Another thing is Top 100 so...\nFull Review,Rated 2 stars out of five stars,05-Apr-20,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.886}",0.886,Positive,0.322727273,0.529924242,Positive,1,,1
35,Evgenii Pivovarov,"I like the app. All songs are available same you have on Spotify so I switched to Google music because for the same price Ive got premium features of YouTube as well. The only suggestion Id add is to add some integrations with other apps like Shazam and etc, so it would be more convenient to use. ...\nFull Review",Rated 5 stars out of five stars,08-Apr-20,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.7269}",0.7269,Positive,0.129166667,0.420833333,Positive,0,,0
36,Tejas Bhosale,"Its showing song unavailable for all songs only when my phone is connected to WiFi. Even the downloaded songs have that problem. But when I disconnect the WiFi,the songs work. This issue started just today. I hope the issue will be fixed. (I have the premium subscription.)",Rated 1 stars out of five stars,31-Mar-20,"{'neg': 0.056, 'neu': 0.885, 'pos': 0.06, 'compound': 0.0516}",0.0516,Positive,0.05,0.6,Positive,1,,1
37,Manny Kim,"Music library does not disappoint. However, it would be nice if users could navigate directly to a playlist from the currently playing page. A swipe up from this page takes you to Up Next. What if a swipe right from here takes you to current playlist? Another cool feature would be the ability to...\nFull Review",Rated 4 stars out of five stars,08-Apr-20,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.8576}",0.8576,Positive,0.190816327,0.483673469,Positive,1,,1
38,Delco Jams,I love that I can get my youtube favs as music selection. But you guys should if possible make it so you can alphabatize your setlists and not sorted by when you put it in. Also i have a 600+ setlist and i feel that it doesnt shuffle as much as it should or itll stop the set after an X amount of son...\nFull Review,Rated 5 stars out of five stars,05-Apr-20,"{'neg': 0.035, 'neu': 0.899, 'pos': 0.066, 'compound': 0.4588}",0.4588,Positive,0.233333333,0.6,Positive,0,,0
39,Andres Quintino,"Not all the songs that are in my playlist appear in the up next list, this happened so many times before but it was just cause i hadnt updated the app but it happened again and a new update hasnt even been released, im stuck listening to a quarter of the songs i have in my playlist and i dont even k...\nFull Review",Rated 1 stars out of five stars,07-Apr-20,"{'neg': 0.042, 'neu': 0.958, 'pos': 0.0, 'compound': -0.3612}",-0.3612,Negative,0.212121212,0.318181818,Positive,,0,2
40,MicckeyMol,Has virtually every song you can think of. Very good value especially if you watch lots of YouTube and opt for the the full YouTube premium to remove all the ads. The main issue I have is the queue system. When you add a song to a queue it goes to the very end of the current playlist and the only wa...\nFull Review,Rated 4 stars out of five stars,08-Apr-20,"{'neg': 0.0, 'neu': 0.908, 'pos': 0.092, 'compound': 0.707}",0.707,Positive,0.232380952,0.623333333,Positive,0,,0
41,Juliet G,I love it! My favorite music system. My only complaints are that the albums in my collection should have the album cover much bigger (instead of being in a list format) and playlists should show the total duration. I also would like to be able to add my own cover art to playlists,Rated 5 stars out of five stars,09-Apr-20,"{'neg': 0.046, 'neu': 0.784, 'pos': 0.17, 'compound': 0.807}",0.807,Positive,0.317857143,0.782142857,Positive,0,,0
42,hack jam33,"The main issues Ive had with this app is that every time I listen to my my songs on my everytime I go back to it, it sends me back to the beginning of the playlist auto random point in the playlist if this could be fixed the it be ok but another problem I keep having is its constantly suggesting s...\nFull Review",Rated 3 stars out of five stars,09-Apr-20,"{'neg': 0.056, 'neu': 0.918, 'pos': 0.025, 'compound': -0.4497}",-0.4497,Negative,0.038095238,0.266666667,Positive,,0,2
43,Arka Singh,"Algorithm is great on suggesting musics.Great song collection, but have few objections: 1. App sometimes doesnt recognise when Im offline or online. Gives error msg. It should directly go to downloads section. Or atleast give dedicated off line button like Spotify. 2. Drains little more battery th...\nFull Review",Rated 4 stars out of five stars,09-Apr-20,"{'neg': 0.091, 'neu': 0.74, 'pos': 0.169, 'compound': 0.6705}",0.6705,Positive,0.2025,0.45,Positive,1,,1
44,Jeffrey Suhr,When playing an album or public playlist it will play songs you have thumbsed down. Makes thumbing down relatively pointless. No way to remove songs from an album in your library (and if you thumb down a song you dont like on the album it still plays!). Songs often pause for no reason. Google assist...\nFull Review,Rated 1 stars out of five stars,06-Apr-20,"{'neg': 0.112, 'neu': 0.82, 'pos': 0.069, 'compound': -0.3822}",-0.3822,Negative,-0.151111111,0.286666667,Negative,,0,2
45,Susan Hill,"The only negative is that if Ive downloaded music then when I go back to listen, the youtube elves have deleted some. Some they give reasons for, but most dont. If I can download something free and not selling it, whats the problem?? Im old so Id love to listen my favorite music BEFORE I die!!! ...\nFull Review",Rated 5 stars out of five stars,01-Apr-20,"{'neg': 0.148, 'neu': 0.643, 'pos': 0.209, 'compound': 0.7686}",0.7686,Positive,0.272070313,0.5625,Positive,1,,1
46,Khi daking4,Very well made app. I just dont like the fact that its highly connected with YouTube. I dont want to watch Music Videos on YTB Music. I can watch it on regular YouTube. Leave YTB Music for JUST music and not parodies and remixes etc. Also PLEASE dont link playlist between the two!! I dont want my Y...\nFull Review,Rated 4 stars out of five stars,09-Apr-20,"{'neg': 0.104, 'neu': 0.806, 'pos': 0.089, 'compound': 0.5033}",0.5033,Positive,0.12,0.305641026,Positive,0,,0
47,Eddie Spaghetti,I honestly love this app. I wish they would make a few updates but otherwise its huge selection of music is great and finding new music is easy. I will say it really is only made for premium members. I use YT a lot so its totally worth it for me. No ads on videos and music. It also extends its ben...\nFull Review,Rated 4 stars out of five stars,10-Apr-20,"{'neg': 0.038, 'neu': 0.643, 'pos': 0.319, 'compound': 0.964}",0.964,Positive,0.296212121,0.592234848,Positive,0,,0
48,Roman,"I LOVE youtube music. Here\s a quick rundown of CONS: - Recommendations and playing more of what you love is absurd. Not even close. It ruins my experience. - Offline songs downloaded are a great guess on the app\s part; some songs I\d like to remove, but the app forces the said songs to download ...\nFull Review",Rated 4 stars out of five stars,31-Mar-20,"{'neg': 0.054, 'neu': 0.757, 'pos': 0.189, 'compound': 0.7945}",0.7945,Positive,0.283333333,0.592857143,Positive,1,,1
49,P E,App doesnt work. Will not load an offline playlist no matter what I do. Ive sent two or three messages to YouTube letting them know about this problem and never got a response so Im canceling after using and enjoying this app for 2 years. What am I really paying for if I cant have an offline pla...\nFull Review,Rated 1 stars out of five stars,31-Mar-20,"{'neg': 0.088, 'neu': 0.793, 'pos': 0.12, 'compound': -0.0219}",-0.0219,Negative,0.35,0.4,Positive,,1,3
50,Not Big Surprise,"Unless you buy premium, its pretty much just YouTube without the videos. The only reason Id download it is to listen to music with my screen turned off, and thats locked behind a paywall. It came installed on my phone, but honestly its just wasting storage at this point.",Rated 1 stars out of five stars,01-Apr-20,"{'neg': 0.065, 'neu': 0.823, 'pos': 0.112, 'compound': 0.3716}",0.3716,Positive,0.13,0.76,Positive,0,,0
51,Dozie Dan,"The YouTube Music app and service are great, quite excellent! Every song is in their database and the suggestions are intuitive. The subscription is affordable, the family plan is perfect. BUT the LIBRARY needs to be made a lot more INTERACTIVE. It\s quite dull and uncomfortable to navigate.",Rated 4 stars out of five stars,03-Apr-20,"{'neg': 0.141, 'neu': 0.731, 'pos': 0.129, 'compound': -0.3981}",-0.3981,Negative,0.418055556,0.791666667,Positive,,0,2
52,William Noland,"Its a really close call between Spotify #2, Pandora #3 and this service #1. so two reasons why the #1 spot. Im not gonna spend more than $10 a month on music. But thats my personal choice, granted I even have the money to make it a choice. Whatever the amount you really got to limit this bill in ...\nFull Review",Rated 5 stars out of five stars,05-Apr-20,"{'neg': 0.0, 'neu': 0.966, 'pos': 0.034, 'compound': 0.25}",0.25,Positive,0.225,0.3,Positive,0,,0
53,Raunak Roy,The most important feature for me in any music streaming app are the suggested playlists. And I want it as varied as possible. I dont have one favourite genre that I listen to all day every day. And I think this is same for a lot of people as well. But the issue with YouTube algorithms is that they...\nFull Review,Rated 2 stars out of five stars,03-Apr-20,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.5413}",0.5413,Positive,0.225,0.65625,Positive,1,,1
54,Raditya Nugraha,"Its good, theres som problem tho iknow that first problem is when i click the pause button its kinda glitching where its just wouldnt play the music its when i click it really fast and multiple times that it wil recognize and play the music,some album is not in the app so yeah.thats about it ev...\nFull Review",Rated 4 stars out of five stars,03-Apr-20,"{'neg': 0.152, 'neu': 0.802, 'pos': 0.046, 'compound': -0.678}",-0.678,Negative,0.2875,0.383333333,Positive,,0,2
55,Harry van Rijn,"I want to listen to music and have no interest in a video app with an equally confusing UI as Spotify. GPM is excellent and intuitive, I want one app which can play all my music: my own collection, my likes in GPM and Youtube, my google drive, my onedrive, my Nas. Any place I store music. So far Bub...\nFull Review",Rated 1 stars out of five stars,04-Apr-20,"{'neg': 0.061, 'neu': 0.725, 'pos': 0.214, 'compound': 0.8555}",0.8555,Positive,0.35,0.85,Positive,1,,1
56,Andrew Lyons,"Still lots missing. Closing all apps stops music. When returning, does not have last song playing or player available to continue. No similar artist suggestions. UI is clunky and disjointed. Also, if you are going to push this at least provide way to transfer current Google Play library and playlist...\nFull Review",Rated 2 stars out of five stars,04-Apr-20,"{'neg': 0.144, 'neu': 0.783, 'pos': 0.073, 'compound': -0.4767}",-0.4767,Negative,-0.016666667,0.286111111,Negative,,0,2
57,Bearcat \xc5\x9e\xc3\xa1ndor,"I love this music streaming app. I strongly prefer it over Pandora and Spotify. The catalog is huge and allows me to try new albums before I buy them, and the music suggestions are always right on point. Ive discovered a lot of new music that I otherwise would not have known about.",Rated 5 stars out of five stars,01-Apr-20,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.8225}",0.8225,Positive,0.315295815,0.613023088,Positive,0,,0
58,Max Maier,"I really like it, except for 2 things: 1. There is no Option to append a song at the end of the current queue. (like there is in Play Music) 2. When I close all tasks, its normal that music applications stay open as long as music is being played. Quite irritating that it just closes while music is ...\nFull Review",Rated 3 stars out of five stars,31-Mar-20,"{'neg': 0.084, 'neu': 0.799, 'pos': 0.117, 'compound': 0.2732}",0.2732,Positive,-0.016666667,0.491666667,Negative,0,,0
59,Matthew Shaw,"Its not as good as Google play music yet. I cant add kids songs to a playlist like I can on Google play due to some regulation they adhere to. Combine this with the fact that voice searching for things for kids is very hit and miss makes it frustrating. I want an option to just return music, not r...\nFull Review",Rated 4 stars out of five stars,01-Apr-20,"{'neg': 0.109, 'neu': 0.76, 'pos': 0.131, 'compound': 0.1104}",0.1104,Positive,0.09375,0.54375,Positive,1,,1
60,Justin Pope,"I will start out by stating that YTM has a ton of music to listen to and thats great. But, I cant recommend this app because you have to pay into the subscription for YTM to keep playing in the background while you do something else or sleep your phone. This feature is not something new and YouTub...\nFull Review",Rated 2 stars out of five stars,02-Apr-20,"{'neg': 0.057, 'neu': 0.847, 'pos': 0.096, 'compound': 0.5252}",0.5252,Positive,0.468181818,0.602272727,Positive,1,,1
61,Joe H,"Spotify is better in every way. The algorithms on YTM are terrible, its generation of playlists is limited and generally poor at finding what you like. Usability is lacking and it will just randomly pause itself when theres no input from me. If you use Google speakers, it often plays live versions...\nFull Review",Rated 2 stars out of five stars,01-Apr-20,"{'neg': 0.162, 'neu': 0.722, 'pos': 0.116, 'compound': -0.4404}",-0.4404,Negative,-0.222510823,0.54047619,Negative,,1,3
62,Jared Mejia,"Only good with youtube premium tbh, but once you have that you got access to every song in the world! And if you cant find it just go on regular YouTube and they\ll have it, sometimes it deletes songs that aren\t considered just music and that can be a bummer but besides that it\s a really good mu...\nFull Review",Rated 4 stars out of five stars,04-Apr-20,"{'neg': 0.054, 'neu': 0.851, 'pos': 0.096, 'compound': 0.4003}",0.4003,Positive,0.39375,0.569230769,Positive,0,,0
63,Bridger Noyes,"i liked this app. at first. when i first got it i was able to actually play music in the BACKGROUND. i didnt sign up for a trial... so i figured it was fine, i didnt need to sign up for premium, i didnt want to, i dont want to. all i want to do is listen to my music without having to shuffle all my ...\nFull Review",Rated 2 stars out of five stars,03-Apr-20,"{'neg': 0.059, 'neu': 0.83, 'pos': 0.112, 'compound': 0.6524}",0.6524,Positive,0.336111111,0.448611111,Positive,0,,0
64,Amit Sharma,"Hi team, Thank you for the YouTube music, I found the content is really good. YouTube have almost every song and I am happy with that. Just few things Im looking for betterment 1. Maybe betterment of the suggestions and the songs which will be downloaded, there are some songs which I never played a...\nFull Review",Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.034, 'neu': 0.811, 'pos': 0.155, 'compound': 0.8104}",0.8104,Positive,0.433333333,0.566666667,Positive,1,,1
66,B21Creatives \xe3\x80\x90MUSIC CLOUD CITY\xe3\x80\x91,"Well I liked it and am long time premium user, using it after switching from sportify since long time but, I am disappointed a little bit because of some features which are not available such as *sleep timer* and which are used by lot of users including me, hoping I r gonna make it available as soon...\nFull Review",Rated 3 stars out of five stars,09-Apr-20,"{'neg': 0.069, 'neu': 0.813, 'pos': 0.119, 'compound': 0.25}",0.25,Positive,-0.0296875,0.51875,Negative,1,,1
67,RetroRyan2,"Wonderful app, very easy to use and has all the great music you need, Its worth paying for the monthly subscription because you can listen to music offline and have your phone turned off while still listening to your beats. Highly recommend to anyone that loves music.",Rated 5 stars out of five stars,28-Mar-20,"{'neg': 0.025, 'neu': 0.657, 'pos': 0.318, 'compound': 0.9577}",0.9577,Positive,0.564666667,0.678,Positive,0,,0
68,ImYourMama Qc,Really nice apps! Plus if like me youre on youtube since 2009 all of your playlist is gonna be here! The only problem is that they dont do a lot of update ... meaning you still did not add the youtube icon on shazam ... if i shazam a song and i wanna and it to my library i have to open the old versi...\nFull Review,Rated 5 stars out of five stars,01-Apr-20,"{'neg': 0.04, 'neu': 0.867, 'pos': 0.092, 'compound': 0.5388}",0.5388,Positive,0.259375,0.675,Positive,0,,0
69,Jerry Davis,"I really like YouTube music and I think the potential for it to be really great is huge. I use it mainly because I pay for YouTube premium, its not enough to pull me away from Spotify for too many reasons to put in to this review, I am using it as it makes improvements. I do wish that there was a w...\nFull Review",Rated 3 stars out of five stars,31-Mar-20,"{'neg': 0.021, 'neu': 0.759, 'pos': 0.22, 'compound': 0.9239}",0.9239,Positive,0.295238095,0.597619048,Positive,0,,0
